"Neighbourhoods_ID","Click_ID","Browser_ID","Entr_Time","Duration","Attributes__what_they_search_for_"
"L2","10030","B2","2021-11-4 15:53","0:10:51","Accessability"
"L1","10031","B2","2021-11-4 16:09","0:40:03","Instagram"
"L1","10032","B2","2021-11-4 16:53","0:00:02","Accessability"
"L7","10033","B2","2021-11-5 4:19","0:32:50","Website"
"L1","10034","B2","2021-11-5 7:26","0:07:50","Speciality Offerings"
"L2","10035","B2","2021-11-5 7:34","0:37:37","Location"
"L1","10036","B2","2021-11-5 8:14","0:39:53","Accessability"
"L7","10037","B2","2021-11-6 4:40","0:35:59","Menu"
"L7","10038","B2","2021-11-6 7:53","0:04:17","Instagram"
"L3","10039","B2","2021-11-6 7:58","0:12:38","Website"
"L7","10040","B2","2021-11-6 13:13","0:10:39","Location"
"L7","10041","B2","2021-11-7 4:48","0:17:09","Careers"
"L1","10042","B2","2021-11-7 5:05","0:04:48","Location"
"L4","10043","B2","2021-11-7 8:42","0:36:42","Location"
"L5","10044","B2","2021-11-7 9:21","0:04:00","Speciality Offerings"
"L1","10045","B2","2021-11-7 15:03","0:34:55","Location"
"L6","10046","B2","2021-11-7 15:41","0:09:54","Website"
"L2","10047","B2","2021-11-8 7:56","0:30:02","Instagram"
"L1","10048","B2","2021-11-8 14:58","0:17:11","Instagram"
"L2","10049","B2","2021-11-8 15:22","0:19:56","Location"
"L4","10050","B7","2021-11-8 15:54","0:03:31","Menu"
"L4","10051","B7","2021-11-8 15:58","0:08:54","Accessability"
"L2","10052","B7","2021-11-8 17:45","0:25:49","Speciality Offerings"
"L2","10053","B2","2021-11-9 4:46","0:26:32","Speciality Offerings"
"L7","10054","B2","2021-11-9 4:46","0:00:51","Instagram"
"L2","10055","B2","2021-11-9 7:13","0:13:43","Menu"
"L5","10056","B2","2021-11-9 7:28","0:12:22","Website"
"L4","10057","B2","2021-11-9 7:45","0:25:40","Website"
"L6","10058","B2","2021-11-9 8:26","0:01:12","Menu"
"L4","10059","B2","2021-11-9 8:28","0:01:02","Menu"
"L1","10060","B2","2021-11-9 8:39","0:20:27","Website"
"L1","10061","B2","2021-11-9 14:24","0:17:34","Instagram"
"L2","10062","B2","2021-11-9 14:42","0:06:52","Instagram"
"L2","10063","B7","2021-11-9 16:01","0:34:32","Accessability"
"L5","10064","B7","2021-11-9 16:36","0:40:35","Instagram"
"L1","10065","B7","2021-11-9 17:20","0:40:19","Website"
"L1","10066","B7","2021-11-9 17:20","0:41:06","Speciality Offerings"
"L2","10067","B2","2021-11-10 4:50","0:11:52","Location"
"L2","10068","B2","2021-11-10 7:51","0:24:32","Speciality Offerings"
"L7","10069","B2","2021-11-10 8:17","0:39:07","Careers"
"L6","10070","B2","2021-11-10 14:37","0:01:06","Instagram"
"L5","10071","B2","2021-11-10 14:38","0:21:28","Ambience"
"L2","10072","B2","2021-11-10 15:07","0:18:07","Ambience"
"L2","10073","B2","2021-11-10 15:25","0:03:02","Instagram"
"L7","10074","B2","2021-11-11 15:31","0:37:17","Ratings"
"L6","10075","B2","2021-11-11 16:09","0:40:41","Careers"
"L7","10076","B2","2021-11-12 4:37","0:40:20","Instagram"
"L7","10077","B2","2021-11-12 5:23","0:08:32","Location"
"L2","10078","B2","2021-11-12 5:56","0:40:44","Speciality Offerings"
"L5","10079","B2","2021-11-12 6:37","0:40:44","Accessability"
"L4","10080","B2","2021-11-12 7:18","0:19:49","Instagram"
"L2","10081","B2","2021-11-12 7:42","0:20:49","Careers"
"L2","10082","B2","2021-11-12 8:03","0:40:44","Instagram"
"L2","10083","B2","2021-11-12 14:43","0:21:59","Location"
"L3","10084","B2","2021-11-13 4:46","0:18:09","Instagram"
"L2","10085","B2","2021-11-13 5:05","0:01:14","Instagram"
"L2","10086","B2","2021-11-13 7:59","0:38:24","Menu"
"L1","10087","B2","2021-11-13 14:28","0:03:45","Website"
"L3","10088","B2","2021-11-13 14:40","0:32:06","Location"
"L2","10089","B2","2021-11-13 15:19","0:04:29","Speciality Offerings"
"L7","10090","B2","2021-11-13 15:23","0:40:12","Offers"
"L2","10091","B2","2021-11-14 15:16","0:40:11","Instagram"
"L1","10092","B2","2021-11-15 7:57","0:40:18","Website"
"L3","10093","B2","2021-11-15 15:52","0:40:36","Instagram"
"L2","10094","B2","2021-11-15 16:35","0:20:15","Location"
"L4","10095","B2","2021-11-16 5:00","0:12:58","Ambience"
"L2","10096","B2","2021-11-16 7:30","0:00:04","Instagram"
"L6","10097","B2","2021-11-16 7:31","0:07:12","Instagram"
"L1","10098","B2","2021-11-16 7:38","0:39:54","Menu"
"L2","10099","B2","2021-11-16 14:43","0:01:03","Speciality Offerings"
"L7","10100","B2","2021-11-16 14:45","0:16:20","Instagram"
"L2","10101","B2","2021-11-17 5:12","0:18:13","Careers"
"L4","10102","B2","2021-11-17 7:52","0:06:10","Speciality Offerings"
"L2","10103","B2","2021-11-17 8:01","0:40:27","Location"
"L1","10104","B2","2021-11-17 14:58","0:29:03","Website"
"L7","10105","B2","2021-11-17 15:34","0:11:40","Website"
"L4","10106","B2","2021-11-17 15:47","0:40:24","Website"
"L1","10107","B2","2021-11-18 4:32","0:38:08","Website"
"L2","10108","B2","2021-11-18 7:39","0:02:13","Location"
"L3","10109","B2","2021-11-18 7:42","0:32:51","Speciality Offerings"
"L7","10110","B2","2021-11-18 8:20","0:07:36","Speciality Offerings"
"L2","10111","B2","2021-11-18 8:28","0:39:49","Location"
"L7","10112","B2","2021-11-18 14:56","0:19:06","Accessability"
"L5","10113","B2","2021-11-18 15:22","0:02:58","WiFi"
"L3","10114","B2","2021-11-18 15:31","0:16:16","Instagram"
"L2","10115","B2","2021-11-18 15:47","0:40:03","Speciality Offerings"
"L2","10116","B2","2021-11-18 16:29","0:00:27","Speciality Offerings"
"L4","10117","B2","2021-11-19 4:06","0:40:12","Accessability"
"L6","10118","B2","2021-11-19 4:47","0:37:54","Speciality Offerings"
"L6","10119","B2","2021-11-19 14:56","0:02:54","Instagram"
"L4","10120","B2","2021-11-19 14:59","0:31:09","Menu"
"L2","10121","B2","2021-11-19 15:40","0:09:12","Instagram"
"L2","10122","B2","2021-11-19 15:50","0:04:04","Website"
"L1","10123","B2","2021-11-20 15:23","0:25:01","Instagram"
"L3","10124","B2","2021-11-20 15:23","0:00:07","Location"
"L2","10125","B2","2021-11-20 15:55","0:11:49","Menu"
"L1","10126","B2","2021-11-21 4:35","0:14:46","Instagram"
"L2","10127","B2","2021-11-21 4:59","0:26:44","Instagram"
"L3","10128","B2","2021-11-21 5:26","0:26:08","Location"
"L7","10129","B2","2021-11-21 7:45","0:14:10","Accessability"
"L7","10130","B2","2021-11-21 8:00","0:15:04","Instagram"
"L2","10131","B5","2021-11-25 16:37","1:17:47","Website"
"L2","10132","B5","2021-11-26 9:31","0:00:08","Speciality Offerings"
"L4","10133","B5","2021-11-26 9:32","0:09:49","Speciality Offerings"
"L2","10134","B8","2021-11-30 6:39","0:00:18","Menu"
"L1","10135","B5","2021-11-30 9:04","0:01:06","Menu"
"L3","10136","B5","2021-12-1 15:51","0:00:14","Instagram"
"L7","10137","B5","2021-12-1 16:02","0:00:16","Ambience"
"L1","10138","B5","2021-12-1 16:13","0:00:12","Menu"
"L1","10139","B5","2021-12-1 16:24","0:46:08","Location"
"L7","10140","B5","2021-12-1 17:15","0:03:12","Speciality Offerings"
"L5","10141","B7","2021-12-3 9:22","0:01:23","Accessability"
"L2","10142","B7","2021-12-3 9:24","0:00:27","Website"
"L1","10143","B7","2021-12-3 9:24","0:00:24","Speciality Offerings"
"L1","10144","B5","2021-12-4 14:02","0:00:07","Speciality Offerings"
"L7","10145","B1","2021-12-4 14:03","0:00:36","Speciality Offerings"
"L2","10146","B1","2021-12-4 14:04","0:00:02","Website"
"L3","10147","B1","2021-12-4 14:04","0:00:01","Website"
"L7","10148","B1","2021-12-4 14:04","0:00:04","Instagram"
"L5","10149","B1","2021-12-4 14:06","0:03:02","Location"
"L1","10150","B1","2021-12-4 14:09","0:00:51","Menu"
"L1","10151","B1","2021-12-4 14:10","0:00:15","Ambience"
"L3","10152","B5","2021-12-4 14:10","0:00:56","Speciality Offerings"
"L1","10153","B5","2021-12-4 14:10","0:00:04","Speciality Offerings"
"L1","10154","B1","2021-12-4 14:11","0:49:39","Instagram"
"L4","10155","B1","2021-12-4 15:01","0:49:45","Website"
"L3","10156","B1","2021-12-4 15:52","0:44:32","Website"
"L7","10157","B1","2021-12-4 16:37","0:39:30","Instagram"
"L2","10158","B1","2021-12-4 17:23","0:06:42","Speciality Offerings"
"L3","10159","B1","2021-12-4 17:30","0:02:35","Menu"
"L1","10160","B1","2021-12-4 17:35","1:07:00","Accessability"
"L1","10161","B1","2021-12-5 5:08","0:00:35","Menu"
"L2","10162","B1","2021-12-5 5:12","0:03:17","Location"
"L1","10163","B2","2021-12-5 15:05","0:23:36","Ambience"
"L6","10164","B2","2021-12-5 15:05","0:00:11","Menu"
"L5","10165","B2","2021-12-5 15:05","0:00:05","Menu"
"L4","10166","B2","2021-12-5 15:43","0:00:15","Instagram"
"L2","10167","B2","2021-12-5 15:48","0:16:07","Accessability"
"L7","10168","B2","2021-12-6 4:19","0:00:45","Offers"
"L2","10169","B2","2021-12-6 4:20","0:28:33","Ratings"
"L6","10170","B2","2021-12-6 7:48","0:30:34","Location"
"L7","10171","B2","2021-12-6 7:48","0:00:35","Instagram"
"L3","10172","B2","2021-12-6 15:02","0:24:02","Careers"
"L3","10173","B2","2021-12-6 15:02","0:00:07","Instagram"
"L3","10174","B2","2021-12-6 15:26","0:17:59","Accessability"
"L7","10175","B2","2021-12-7 4:20","0:00:12","Menu"
"L3","10176","B2","2021-12-7 4:21","0:10:42","Menu"
"L7","10177","B2","2021-12-7 4:37","0:02:59","Speciality Offerings"
"L3","10178","B2","2021-12-7 7:53","0:08:37","Website"
"L3","10179","B2","2021-12-7 7:53","0:00:04","Location"
"L2","10180","B2","2021-12-7 8:02","0:32:13","Website"
"L2","10181","B2","2021-12-7 15:11","0:00:04","Location"
"L7","10182","B2","2021-12-7 15:12","0:00:31","Menu"
"L7","10183","B2","2021-12-7 15:13","0:00:06","Menu"
"L3","10184","B2","2021-12-7 15:13","0:00:14","Location"
"L7","10185","B2","2021-12-7 15:13","0:00:10","Location"
"L2","10186","B2","2021-12-7 15:14","0:00:08","Instagram"
"L1","10187","B2","2021-12-7 15:14","0:00:12","Speciality Offerings"
"L1","10188","B2","2021-12-7 15:15","0:01:26","Speciality Offerings"
"L7","10189","B2","2021-12-7 15:19","0:06:16","Instagram"
"L7","10190","B2","2021-12-7 15:19","0:00:01","Speciality Offerings"
"L3","10191","B2","2021-12-7 15:27","0:11:39","Website"
"L6","10192","B2","2021-12-8 3:47","0:00:06","Instagram"
"L7","10193","B2","2021-12-8 3:48","0:07:05","Accessability"
"L2","10194","B2","2021-12-8 3:55","0:13:33","Speciality Offerings"
"L2","10195","B2","2021-12-8 7:35","0:03:36","Speciality Offerings"
"L2","10196","B2","2021-12-8 7:39","0:16:01","Speciality Offerings"
"L2","10197","B2","2021-12-8 7:55","0:19:38","Speciality Offerings"
"L2","10198","B2","2021-12-8 8:17","0:16:49","Instagram"
"L2","10199","B2","2021-12-8 8:34","0:14:04","Instagram"
"L2","10200","B2","2021-12-8 8:49","0:13:11","Location"
"L3","10201","B9","2021-12-8 14:39","0:00:06","Website"
"L1","10202","B9","2021-12-8 14:39","0:00:06","Speciality Offerings"
"L1","10203","B9","2021-12-8 14:41","0:00:06","Careers"
"L1","10204","B9","2021-12-8 14:43","0:00:17","Instagram"
"L2","10205","B9","2021-12-8 14:45","0:00:46","Website"
"L1","10206","B9","2021-12-8 14:45","0:00:07","Website"
"L4","10207","B9","2021-12-8 14:46","0:00:31","Location"
"L1","10208","B9","2021-12-8 14:47","0:00:25","Location"
"L1","10209","B9","2021-12-8 14:48","0:00:26","Accessability"
"L3","10210","B9","2021-12-8 14:48","0:00:12","Menu"
"L3","10211","B2","2021-12-8 14:49","0:00:31","Speciality Offerings"
"L3","10212","B9","2021-12-8 14:50","0:00:09","Location"
"L2","10213","B2","2021-12-8 14:50","0:33:11","Instagram"
"L1","10214","B9","2021-12-8 14:53","0:00:29","Menu"
"L5","10215","B9","2021-12-8 14:57","0:00:05","Speciality Offerings"
"L6","10216","B9","2021-12-8 15:21","0:00:17","Location"
"L1","10217","B9","2021-12-8 15:21","0:00:11","Speciality Offerings"
"L1","10218","B9","2021-12-8 15:22","0:00:07","Instagram"
"L2","10219","B9","2021-12-8 15:41","0:00:25","Speciality Offerings"
"L4","10220","B9","2021-12-8 16:52","0:00:24","Instagram"
"L2","10221","B9","2021-12-8 18:01","2:26:25","Website"
"L2","10222","B2","2021-12-9 4:28","0:15:52","Website"
"L6","10223","B2","2021-12-9 7:43","0:19:53","Careers"
"L7","10224","B2","2021-12-9 8:06","0:19:41","Accessability"
"L2","10225","B2","2021-12-9 8:27","0:17:59","Speciality Offerings"
"L3","10226","B2","2021-12-9 8:45","0:00:01","Menu"
"L2","10227","B2","2021-12-9 14:24","0:00:10","Menu"
"L7","10228","B2","2021-12-9 14:25","0:39:08","Instagram"
"L1","10229","B2","2021-12-9 15:04","0:25:33","Instagram"
"L3","10230","B9","2021-12-9 17:19","0:00:05","Website"
"L2","10231","B9","2021-12-9 17:20","0:02:57","Ratings"
"L4","10232","B9","2021-12-9 17:20","0:00:12","Speciality Offerings"
"L5","10233","B9","2021-12-9 17:20","0:00:04","Location"
"L2","10234","B9","2021-12-9 17:23","0:46:30","Menu"
"L2","10235","B2","2021-12-10 4:38","0:17:29","Speciality Offerings"
"L6","10236","B2","2021-12-10 4:38","0:00:05","Instagram"
"L6","10237","B2","2021-12-10 4:56","0:00:05","Instagram"
"L1","10238","B2","2021-12-10 7:47","0:18:46","Website"
"L2","10239","B2","2021-12-10 8:06","0:17:30","Location"
"L6","10240","B2","2021-12-10 14:21","0:13:21","Careers"
"L1","10241","B2","2021-12-10 14:21","0:00:04","Speciality Offerings"
"L7","10242","B2","2021-12-10 14:35","0:00:17","Instagram"
"L2","10243","B2","2021-12-10 14:37","0:13:08","Speciality Offerings"
"L1","10244","B2","2021-12-10 14:51","0:18:06","Speciality Offerings"
"L2","10245","B2","2021-12-10 15:11","0:16:37","Instagram"
"L4","10246","B2","2021-12-10 15:27","0:12:41","Website"
"L3","10247","B2","2021-12-11 4:22","0:00:04","Speciality Offerings"
"L3","10248","B2","2021-12-11 4:23","0:26:56","Accessability"
"L3","10249","B2","2021-12-11 4:23","0:00:04","Menu"
"L7","10250","B2","2021-12-11 4:54","0:40:07","Location"
"L7","10251","B1","2021-12-11 13:51","0:00:04","Offers"
"L5","10252","B1","2021-12-11 13:51","0:00:05","Instagram"
"L2","10253","B1","2021-12-11 13:51","0:00:17","Speciality Offerings"
"L6","10254","B1","2021-12-11 13:52","0:00:07","Instagram"
"L7","10255","B1","2021-12-11 13:53","0:39:26","Careers"
"L2","10256","B2","2021-12-11 14:19","0:01:58","Accessability"
"L2","10257","B2","2021-12-11 14:19","0:00:04","Offers"
"L2","10258","B2","2021-12-11 14:21","0:36:10","Ambience"
"L2","10259","B1","2021-12-11 14:42","0:00:08","Location"
"L2","10260","B1","2021-12-11 14:43","0:06:58","Location"
"L2","10261","B2","2021-12-11 14:58","0:43:59","Instagram"
"L2","10262","B5","2021-12-11 16:17","0:30:04","Menu"
"L3","10263","B5","2021-12-11 16:48","0:13:08","Accessability"
"L1","10264","B9","2021-12-11 17:16","1:08:06","Location"
"L2","10265","B2","2021-12-12 4:09","0:00:18","Website"
"L3","10266","B2","2021-12-12 4:10","0:45:15","Website"
"L2","10267","B2","2021-12-12 7:52","0:00:02","Location"
"L4","10268","B2","2021-12-12 7:52","0:00:18","Ambience"
"L2","10269","B2","2021-12-12 7:53","0:19:47","Offers"
"L1","10270","B2","2021-12-12 14:51","0:00:14","Instagram"
"L1","10271","B2","2021-12-12 14:52","0:23:55","Careers"
"L2","10272","B2","2021-12-12 15:28","0:15:54","Instagram"
"L6","10273","B2","2021-12-12 15:44","0:24:54","Ambience"
"L1","10274","B2","2021-12-13 4:27","0:16:20","Instagram"
"L5","10275","B2","2021-12-13 4:27","0:00:06","Instagram"
"L1","10276","B2","2021-12-13 4:44","0:12:53","Speciality Offerings"
"L4","10277","B2","2021-12-13 7:49","0:23:40","Instagram"
"L1","10278","B2","2021-12-13 7:49","0:00:06","Website"
"L3","10279","B2","2021-12-13 8:13","0:10:37","Speciality Offerings"
"L6","10280","B2","2021-12-13 8:30","0:12:48","Menu"
"L7","10281","B2","2021-12-13 14:51","0:08:58","Ambience"
"L1","10282","B2","2021-12-13 14:51","0:00:11","Instagram"
"L2","10283","B2","2021-12-13 15:02","0:00:07","Speciality Offerings"
"L2","10284","B2","2021-12-13 15:03","0:07:39","Website"
"L7","10285","B2","2021-12-13 15:20","0:19:46","Speciality Offerings"
"L2","10286","B2","2021-12-13 15:40","0:13:08","Location"
"L1","10287","B2","2021-12-14 4:18","0:24:46","Location"
"L2","10288","B2","2021-12-14 4:18","0:00:10","Location"
"L4","10289","B2","2021-12-14 4:43","0:00:07","Location"
"L2","10290","B2","2021-12-14 8:01","0:42:54","Ambience"
"L2","10291","B9","2021-12-14 10:59","0:00:18","Speciality Offerings"
"L7","10292","B2","2021-12-14 14:53","0:22:58","Offers"
"L6","10293","B2","2021-12-15 3:20","0:00:14","Menu"
"L6","10294","B2","2021-12-15 3:21","0:17:40","Location"
"L5","10295","B2","2021-12-15 8:02","0:25:20","Speciality Offerings"
"L1","10296","B2","2021-12-15 14:38","0:15:14","Accessability"
"L1","10297","B2","2021-12-15 14:53","0:21:23","Speciality Offerings"
"L2","10298","B2","2021-12-15 15:20","0:00:05","Website"
"L1","10299","B5","2021-12-15 15:22","0:00:04","Website"
"L1","10300","B2","2021-12-15 15:23","0:00:07","Careers"
"L7","10301","B5","2021-12-15 15:27","0:00:23","Careers"
"L1","10302","B2","2021-12-15 15:28","0:00:16","Ambience"
"L3","10303","B2","2021-12-15 15:28","0:00:06","Instagram"
"L2","10304","B2","2021-12-15 15:29","2:29:34","Instagram"
"L3","10305","B5","2021-12-15 15:29","0:00:04","Instagram"
"L1","10306","B9","2021-12-15 15:40","0:00:05","Location"
"L2","10307","B2","2021-12-16 4:14","0:18:54","Instagram"
"L1","10308","B2","2021-12-16 4:14","0:00:04","Location"
"L3","10309","B2","2021-12-16 4:33","0:07:27","Instagram"
"L6","10310","B2","2021-12-16 8:01","0:32:43","Location"
"L6","10311","B3","2021-12-16 15:14","0:00:01","Instagram"
"L2","10312","B3","2021-12-16 15:14","0:00:08","Careers"
"L3","10313","B3","2021-12-16 15:16","0:00:52","Offers"
"L5","10314","B3","2021-12-16 15:16","0:00:11","Website"
"L3","10315","B3","2021-12-16 15:30","0:18:21","Accessability"
"L2","10316","B3","2021-12-16 17:00","2:06:53","Menu"
"L1","10317","B2","2021-12-17 3:55","0:29:06","Menu"
"L6","10318","B2","2021-12-17 8:00","0:16:09","Speciality Offerings"
"L6","10319","B2","2021-12-17 8:16","0:20:53","Instagram"
"L3","10320","B2","2021-12-17 14:54","0:22:17","Instagram"
"L2","10321","B2","2021-12-17 14:54","0:00:08","Instagram"
"L6","10322","B2","2021-12-17 15:17","0:40:27","Menu"
"L7","10323","B2","2021-12-17 15:57","0:04:08","Menu"
"L3","10324","B1","2021-12-17 17:06","0:00:02","Menu"
"L4","10325","B1","2021-12-17 17:06","0:00:06","Accessability"
"L5","10326","B1","2021-12-17 17:08","0:17:51","Menu"
"L6","10327","B2","2021-12-19 7:31","0:00:11","Speciality Offerings"
"L4","10328","B2","2021-12-19 7:32","0:09:11","Location"
"L6","10329","B2","2021-12-19 7:41","0:00:05","Website"
"L2","10330","B2","2021-12-19 7:42","0:00:24","Pet Friendly"
"L2","10331","B2","2021-12-19 7:42","0:00:06","Ambience"
"L2","10332","B2","2021-12-19 7:43","0:00:02","Accessability"
"L3","10333","B2","2021-12-19 7:44","0:00:40","Location"
"L2","10334","B2","2021-12-19 7:45","0:19:04","Speciality Offerings"
"L7","10335","B9","2021-12-19 14:10","0:00:10","Website"
"L1","10336","B2","2021-12-19 15:04","0:37:27","Location"
"L1","10337","B2","2021-12-19 15:04","0:00:04","Website"
"L4","10338","B9","2021-12-19 17:14","1:37:31","Website"
"L1","10339","B9","2021-12-19 18:58","0:00:14","Website"
"L6","10340","B9","2021-12-19 18:58","0:00:04","Menu"
"L4","10341","B9","2021-12-19 18:59","0:00:08","Instagram"
"L1","10342","B9","2021-12-19 19:03","0:00:41","Speciality Offerings"
"L7","10343","B9","2021-12-19 19:04","0:00:23","Instagram"
"L1","10344","B9","2021-12-19 19:05","0:00:28","Instagram"
"L2","10345","B9","2021-12-19 19:06","0:07:50","Instagram"
"L1","10346","B9","2021-12-19 19:21","0:09:00","Menu"
"L2","10347","B9","2021-12-19 19:31","0:00:19","Ambience"
"L1","10348","B9","2021-12-19 19:31","0:00:08","Website"
"L2","10349","B2","2021-12-20 4:08","0:02:48","Website"
"L1","10350","B2","2021-12-20 4:11","0:23:13","Menu"
"L1","10351","B9","2021-12-20 7:25","0:00:37","Accessability"
"L2","10352","B9","2021-12-20 7:28","0:00:09","Speciality Offerings"
"L7","10353","B9","2021-12-20 7:28","0:00:05","Instagram"
"L2","10354","B9","2021-12-20 7:28","0:00:06","Instagram"
"L6","10355","B9","2021-12-20 7:29","0:00:04","Menu"
"L6","10356","B9","2021-12-20 7:33","0:01:23","Instagram"
"L2","10357","B9","2021-12-20 7:37","0:00:23","Instagram"
"L4","10358","B9","2021-12-20 7:39","0:00:12","Speciality Offerings"
"L4","10359","B9","2021-12-20 7:41","0:00:18","Speciality Offerings"
"L4","10360","B2","2021-12-20 7:57","0:28:06","Careers"
"L3","10361","B2","2021-12-20 7:57","0:00:05","Website"
"L1","10362","B9","2021-12-20 17:10","0:04:54","Website"
"L1","10363","B9","2021-12-20 17:16","0:31:22","Accessability"
"L7","10364","B9","2021-12-20 17:49","1:15:02","Menu"
"L2","10365","B2","2021-12-21 4:01","0:00:05","Ambience"
"L1","10366","B2","2021-12-21 4:01","0:00:37","Speciality Offerings"
"L4","10367","B2","2021-12-21 4:02","0:34:48","Speciality Offerings"
"L1","10368","B2","2021-12-21 4:38","0:00:59","Ambience"
"L2","10369","B2","2021-12-21 7:38","0:01:15","Location"
"L2","10370","B2","2021-12-21 7:40","0:48:32","Ambience"
"L7","10371","B2","2021-12-21 8:29","0:27:21","Speciality Offerings"
"L2","10372","B2","2021-12-21 14:40","0:00:13","Ambience"
"L2","10373","B2","2021-12-21 14:41","0:19:23","Website"
"L2","10374","B2","2021-12-21 15:00","0:22:31","Instagram"
"L1","10375","B2","2021-12-22 3:28","0:18:51","Menu"
"L6","10376","B2","2021-12-22 3:28","0:00:16","Menu"
"L4","10377","B2","2021-12-22 3:51","0:10:01","Website"
"L5","10378","B2","2021-12-22 7:47","0:33:57","Location"
"L7","10379","B2","2021-12-22 7:47","0:00:04","Instagram"
"L5","10380","B2","2021-12-22 8:21","0:00:05","Ratings"
"L2","10381","B9","2021-12-22 14:09","0:00:08","Menu"
"L1","10382","B9","2021-12-22 14:15","0:00:12","Instagram"
"L3","10383","B9","2021-12-22 14:16","0:00:24","Website"
"L6","10384","B9","2021-12-22 14:17","0:00:06","Instagram"
"L7","10385","B9","2021-12-22 15:03","0:00:17","Instagram"
"L4","10386","B9","2021-12-22 15:49","0:27:59","Location"
"L1","10387","B9","2021-12-22 19:15","0:00:42","Menu"
"L4","10388","B9","2021-12-22 19:16","0:02:54","Speciality Offerings"
"L3","10389","B2","2021-12-23 3:57","0:24:26","Speciality Offerings"
"L5","10390","B2","2021-12-23 3:57","0:00:13","Website"
"L1","10391","B2","2021-12-23 7:49","0:14:32","Location"
"L2","10392","B2","2021-12-23 8:04","0:04:59","Accessability"
"L6","10393","B9","2021-12-23 13:39","0:00:15","Speciality Offerings"
"L2","10394","B9","2021-12-23 13:39","0:00:29","Offers"
"L3","10395","B9","2021-12-23 13:40","0:00:14","Menu"
"L6","10396","B9","2021-12-23 15:42","0:32:38","Speciality Offerings"
"L2","10397","B9","2021-12-23 16:44","0:53:04","Location"
"L2","10398","B2","2021-12-24 3:33","0:00:04","Instagram"
"L7","10399","B2","2021-12-24 3:33","0:00:26","Website"
"L4","10400","B2","2021-12-24 3:34","0:35:25","Speciality Offerings"
"L6","10401","B2","2021-12-24 3:34","0:00:07","Location"
"L2","10402","B2","2021-12-24 3:34","0:00:04","Instagram"
"L6","10403","B2","2021-12-24 3:34","0:00:08","Menu"
"L4","10404","B9","2021-12-24 5:36","0:00:06","Location"
"L1","10405","B2","2021-12-24 7:50","0:24:44","Careers"
"L1","10406","B1","2021-12-24 8:05","2:34:14","Menu"
"L1","10407","B2","2021-12-24 8:17","0:00:05","Website"
"L1","10408","B2","2021-12-24 8:18","0:00:44","Instagram"
"L3","10409","B9","2021-12-24 10:04","0:00:22","Speciality Offerings"
"L2","10410","B9","2021-12-24 10:05","0:00:18","Location"
"L7","10411","B7","2021-12-24 10:17","0:00:14","Instagram"
"L1","10412","B1","2021-12-24 10:39","0:00:17","Location"
"L1","10413","B3","2021-12-24 14:19","0:21:39","Instagram"
"L7","10414","B3","2021-12-24 14:19","0:00:16","Accessability"
"L7","10415","B5","2021-12-24 14:40","0:47:41","Instagram"
"L7","10416","B2","2021-12-24 15:16","0:05:40","Instagram"
"L6","10417","B9","2021-12-24 15:16","0:00:05","Ambience"
"L7","10418","B2","2021-12-24 15:22","0:02:28","Instagram"
"L1","10419","B2","2021-12-24 15:27","2:25:54","Instagram"
"L4","10420","B3","2021-12-24 15:40","0:01:38","Careers"
"L2","10421","B3","2021-12-24 15:45","2:10:44","Speciality Offerings"
