"Date_Updated","Impressions","From_Home","From_Hashtags","From_Explore","From_Other","Saves","Comments","Shares","Likes","Profile_Visits","Follows"
"2022-05-04","3480","1975","1019","245","72","104","1","20","114","295","251"
"2022-05-11","4002","3401","278","128","73","111","17","21","205","305","257"
"2022-05-18","5055","2017","2351","298","108","101","7","22","159","315","263"
"2022-05-25","3606","2509","183","446","300","174","5","26","138","295","247"
"2022-06-01","5055","2017","2351","298","108","101","7","27","159","300","251"
"2022-06-08","2191","1308","809","45","18","35","2","28","72","305","257"
"2022-06-15","4082","2195","1248","541","36","135","11","29","175","315","263"
"2022-06-22","3924","2244","1278","326","34","139","11","23","151","325","269"
"2022-06-29","4289","2746","869","589","24","111","8","24","150","330","271"
"2022-07-06","3786","2632","616","468","25","144","9","25","167","310","257"
"2022-07-13","4082","2195","1248","541","36","135","11","30","175","315","263"
"2022-07-20","3924","2244","1278","326","34","139","11","31","151","320","269"
"2022-07-27","3216","2524","212","201","223","121","5","32","142","330","271"
"2022-08-03","7018","2569","4221","796","83","342","9","33","236","340","277"
"2022-08-10","5538","2597","2376","412","63","149","6","26","178","345","281"
"2022-08-17","5731","1923","1368","2266","65","135","4","27","148","325","267"
"2022-08-24","3169","1979","707","341","32","106","8","28","121","330","271"
"2022-08-31","4998","2331","2195","318","75","167","4","34","180","335","277"
"2022-09-07","4298","3050","969","181","64","263","6","35","225","345","281"
"2022-09-14","6339","2190","4036","48","27","171","8","36","248","355","283"
"2022-09-21","3169","1979","707","341","32","106","8","37","121","365","293"
"2022-09-28","4609","2032","911","857","532","94","3","29","168","345","277"
"2022-10-05","6432","2812","2974","468","72","250","11","30","212","350","281"
"2022-10-12","6559","2225","4041","158","72","179","8","31","257","355","283"
"2022-10-19","2957","1926","349","217","369","70","4","38","118","365","293"
"2022-10-26","5563","3813","362","1135","76","149","5","39","163","375","297"
"2022-11-02","4528","2700","621","932","73","172","10","40","213","380","301"
"2022-11-09","4681","2252","1674","360","308","207","7","41","170","360","287"
"2022-11-16","4343","2278","1460","521","27","105","6","32","152","365","291"
"2022-11-23","6814","2816","2769","900","128","469","8","33","249","370","297"
"2022-11-30","3818","2357","442","250","536","116","6","34","134","380","301"
"2022-12-07","5273","2673","2003","433","114","318","9","42","250","390","307"
"2022-12-14","2621","1543","599","333","25","22","5","43","76","395","311"
"2022-12-21","4978","2125","2249","354","99","143","9","44","186","375","297"
"2022-12-28","5058","2125","2250","362","111","144","9","45","187","380","301"
"2023-01-04","3525","1323","1699","182","292","33","5","35","96","385","307"
"2023-01-11","6348","2517","2660","737","154","188","4","36","194","395","311"
"2023-01-18","2218","1597","411","162","15","28","6","37","81","405","317"
"2023-01-25","2826","2108","583","76","34","67","3","46","114","410","321"
"2023-02-01","2826","2108","583","76","34","67","3","47","114","390","307"
"2023-02-08","4115","2609","1104","178","46","122","6","48","191","395","311"
"2023-02-15","2998","1945","794","84","139","42","4","49","126","400","317"
"2023-02-22","2998","1945","794","84","139","42","4","38","126","410","321"
"2023-03-01","3880","2207","1109","199","317","90","4","39","127","420","331"
"2023-03-08","4139","1133","1538","1367","33","36","7","40","92","425","337"
"2023-03-15","3920","2586","1028","619","56","98","9","50","162","405","317"
"2023-03-22","3749","2384","857","248","49","155","6","51","159","410","321"
"2023-03-29","3333","1502","1423","182","148","38","3","52","96","415","331"
"2023-04-05","5409","2643","2006","1068","230","393","10","53","275","425","337"
"2023-04-12","7407","2782","1938","2237","226","288","5","41","263","435","341"
"2023-04-19","5072","1780","3090","69","76","42","7","42","115","445","347"
"2023-04-26","7407","2782","1938","2237","226","288","5","43","263","425","331"
"2023-05-03","11068","2099","2986","5634","122","214","7","54","250","430","337"
"2023-05-10","3623","1179","1527","157","655","34","3","55","95","435","341"
"2023-05-17","10386","4137","3551","2355","205","668","8","56","328","445","347"
"2023-05-24","10386","4137","3551","2355","205","668","8","57","328","455","349"
"2023-05-31","5323","2000","2053","988","74","152","6","44","192","460","353"
"2023-06-07","3454","1663","1284","166","234","38","12","45","107","440","337"
"2023-06-14","4842","1658","694","2036","310","55","6","46","86","445","341"
"2023-06-21","5394","2727","1838","1174","78","194","7","58","224","450","349"
"2023-06-28","3601","1570","1518","174","167","51","9","59","94","460","353"
"2023-07-05","7571","3717","841","1716","1115","421","7","60","269","470","359"
"2023-07-12","5542","1782","3212","213","168","46","7","61","122","480","367"
"2023-07-19","6666","1977","4604","48","23","84","9","47","214","460","349"
"2023-07-26","11149","4439","747","5762","53","273","4","48","210","465","353"
"2023-08-02","4021","2085","1188","0","533","41","11","49","131","470","359"
"2023-08-09","5394","2275","2975","45","65","61","19","62","147","480","367"
"2023-08-16","5394","2275","2975","45","65","61","19","63","147","490","373"
"2023-08-23","17713","2449","2141","12389","561","504","3","64","308","500","379"
"2023-08-30","13700","5185","3041","5352","77","573","2","65","373","480","359"
"2023-09-06","7231","1855","4156","703","309","73","8","50","171","485","367"
"2023-09-13","4150","1807","1085","463","792","74","4","51","145","490","373"
"2023-09-20","6168","2177","3450","153","296","82","6","52","151","500","379"
"2023-09-27","6168","2177","3450","153","296","82","6","66","151","510","383"
"2023-10-04","6108","2679","2803","562","26","90","7","67","196","520","389"
"2023-10-11","8001","2261","5055","300","172","83","8","68","203","500","371"
"2023-10-18","7281","3065","1254","2081","748","167","7","69","195","505","379"
"2023-10-25","32695","11815","3147","17414","170","1095","2","53","549","510","383"
"2023-11-01","10493","2106","7761","248","238","99","9","54","244","520","389"
"2023-11-08","9453","2525","5799","208","794","100","6","55","294","530","397"
"2023-11-15","10206","2371","1624","6000","117","182","10","70","172","540","401"
"2023-11-22","10667","3152","6564","617","187","219","13","71","297","520","383"
"2023-11-29","16062","3144","11817","564","468","252","6","72","416","525","389"
"2023-12-06","10933","3152","6610","623","334","225","13","73","301","530","397"
"2023-12-13","17396","1817","10008","5192","251","285","7","56","416","540","401"
"2023-12-20","36919","13473","4176","16444","2547","653","5","57","443","550","409"
"2023-12-27","24928","22045","8510","13382","980","367","13","58","578","560","419"
"2024-01-03","37174","30761","14027","26811","1054","481","21","74","398","540","403"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
