"Neighbourhoods_ID","Neighbourhoods","Click_ID","Entr_Time","Duration","Attributes__what_they_search_for_","Browser_ID"
"L1","Barceloneta","10045","2021-11-7 15:03","0:34:55","Location","B2"
"L6","Sarria","10046","2021-11-7 15:41","0:09:54","Website","B2"
"L2","El Born","10047","2021-11-8 7:56","0:30:02","Instagram","B2"
"L1","Barceloneta","10048","2021-11-8 14:58","0:17:11","Instagram","B2"
"L2","El Born","10049","2021-11-8 15:22","0:19:56","Location","B2"
"L4","Gracia","10050","2021-11-8 15:54","0:03:31","Menu","B7"
"L4","Gracia","10051","2021-11-8 15:58","0:08:54","Accessability","B7"
"L2","El Born","10052","2021-11-8 17:45","0:25:49","Speciality Offerings","B7"
"L2","El Born","10053","2021-11-9 4:46","0:26:32","Speciality Offerings","B2"
"L7","Poblenou","10054","2021-11-9 4:46","0:00:51","Instagram","B2"
"L2","El Born","10055","2021-11-9 7:13","0:13:43","Menu","B2"
"L5","Eixample","10056","2021-11-9 7:28","0:12:22","Website","B2"
"L4","Gracia","10057","2021-11-9 7:45","0:25:40","Website","B2"
"L6","Sarria","10058","2021-11-9 8:26","0:01:12","Menu","B2"
"L4","Gracia","10059","2021-11-9 8:28","0:01:02","Menu","B2"
"L1","Barceloneta","10060","2021-11-9 8:39","0:20:27","Website","B2"
"L1","Barceloneta","10061","2021-11-9 14:24","0:17:34","Instagram","B2"
"L2","El Born","10062","2021-11-9 14:42","0:06:52","Instagram","B2"
"L2","El Born","10063","2021-11-9 16:01","0:34:32","Accessability","B7"
"L5","Eixample","10064","2021-11-9 16:36","0:40:35","Instagram","B7"
"L1","Barceloneta","10065","2021-11-9 17:20","0:40:19","Website","B7"
"L1","Barceloneta","10066","2021-11-9 17:20","0:41:06","Speciality Offerings","B7"
"L2","El Born","10067","2021-11-10 4:50","0:11:52","Location","B2"
"L2","El Born","10068","2021-11-10 7:51","0:24:32","Speciality Offerings","B2"
"L7","Poblenou","10069","2021-11-10 8:17","0:39:07","Careers","B2"
"L6","Sarria","10070","2021-11-10 14:37","0:01:06","Instagram","B2"
"L5","Eixample","10071","2021-11-10 14:38","0:21:28","Ambience","B2"
"L2","El Born","10072","2021-11-10 15:07","0:18:07","Ambience","B2"
"L2","El Born","10073","2021-11-10 15:25","0:03:02","Instagram","B2"
"L7","Poblenou","10074","2021-11-11 15:31","0:37:17","Ratings","B2"
"L6","Sarria","10075","2021-11-11 16:09","0:40:41","Careers","B2"
"L7","Poblenou","10076","2021-11-12 4:37","0:40:20","Instagram","B2"
"L7","Poblenou","10077","2021-11-12 5:23","0:08:32","Location","B2"
"L2","El Born","10078","2021-11-12 5:56","0:40:44","Speciality Offerings","B2"
"L5","Eixample","10079","2021-11-12 6:37","0:40:44","Accessability","B2"
"L4","Gracia","10080","2021-11-12 7:18","0:19:49","Instagram","B2"
"L2","El Born","10081","2021-11-12 7:42","0:20:49","Careers","B2"
"L2","El Born","10082","2021-11-12 8:03","0:40:44","Instagram","B2"
"L2","El Born","10083","2021-11-12 14:43","0:21:59","Location","B2"
"L3","Sants","10084","2021-11-13 4:46","0:18:09","Instagram","B2"
"L2","El Born","10085","2021-11-13 5:05","0:01:14","Instagram","B2"
"L2","El Born","10086","2021-11-13 7:59","0:38:24","Menu","B2"
"L1","Barceloneta","10087","2021-11-13 14:28","0:03:45","Website","B2"
"L3","Sants","10088","2021-11-13 14:40","0:32:06","Location","B2"
"L2","El Born","10089","2021-11-13 15:19","0:04:29","Speciality Offerings","B2"
"L7","Poblenou","10090","2021-11-13 15:23","0:40:12","Offers","B2"
"L2","El Born","10091","2021-11-14 15:16","0:40:11","Instagram","B2"
"L1","Barceloneta","10092","2021-11-15 7:57","0:40:18","Website","B2"
"L3","Sants","10093","2021-11-15 15:52","0:40:36","Instagram","B2"
"L2","El Born","10094","2021-11-15 16:35","0:20:15","Location","B2"
"L4","Gracia","10095","2021-11-16 5:00","0:12:58","Ambience","B2"
"L2","El Born","10096","2021-11-16 7:30","0:00:04","Instagram","B2"
"L6","Sarria","10097","2021-11-16 7:31","0:07:12","Instagram","B2"
"L1","Barceloneta","10098","2021-11-16 7:38","0:39:54","Menu","B2"
"L2","El Born","10099","2021-11-16 14:43","0:01:03","Speciality Offerings","B2"
"L7","Poblenou","10100","2021-11-16 14:45","0:16:20","Instagram","B2"
"L2","El Born","10101","2021-11-17 5:12","0:18:13","Careers","B2"
"L4","Gracia","10102","2021-11-17 7:52","0:06:10","Speciality Offerings","B2"
"L2","El Born","10103","2021-11-17 8:01","0:40:27","Location","B2"
"L1","Barceloneta","10104","2021-11-17 14:58","0:29:03","Website","B2"
"L7","Poblenou","10105","2021-11-17 15:34","0:11:40","Website","B2"
"L4","Gracia","10106","2021-11-17 15:47","0:40:24","Website","B2"
"L1","Barceloneta","10107","2021-11-18 4:32","0:38:08","Website","B2"
"L2","El Born","10108","2021-11-18 7:39","0:02:13","Location","B2"
"L3","Sants","10109","2021-11-18 7:42","0:32:51","Speciality Offerings","B2"
"L7","Poblenou","10110","2021-11-18 8:20","0:07:36","Speciality Offerings","B2"
"L2","El Born","10111","2021-11-18 8:28","0:39:49","Location","B2"
"L7","Poblenou","10112","2021-11-18 14:56","0:19:06","Accessability","B2"
"L5","Eixample","10113","2021-11-18 15:22","0:02:58","WiFi","B2"
"L3","Sants","10114","2021-11-18 15:31","0:16:16","Instagram","B2"
"L2","El Born","10115","2021-11-18 15:47","0:40:03","Speciality Offerings","B2"
"L2","El Born","10116","2021-11-18 16:29","0:00:27","Speciality Offerings","B2"
"L4","Gracia","10117","2021-11-19 4:06","0:40:12","Accessability","B2"
"L6","Sarria","10118","2021-11-19 4:47","0:37:54","Speciality Offerings","B2"
"L6","Sarria","10119","2021-11-19 14:56","0:02:54","Instagram","B2"
"L4","Gracia","10120","2021-11-19 14:59","0:31:09","Menu","B2"
"L2","El Born","10121","2021-11-19 15:40","0:09:12","Instagram","B2"
"L2","El Born","10122","2021-11-19 15:50","0:04:04","Website","B2"
"L1","Barceloneta","10123","2021-11-20 15:23","0:25:01","Instagram","B2"
"L3","Sants","10124","2021-11-20 15:23","0:00:07","Location","B2"
"L2","El Born","10125","2021-11-20 15:55","0:11:49","Menu","B2"
"L1","Barceloneta","10126","2021-11-21 4:35","0:14:46","Instagram","B2"
"L2","El Born","10127","2021-11-21 4:59","0:26:44","Instagram","B2"
"L3","Sants","10128","2021-11-21 5:26","0:26:08","Location","B2"
"L7","Poblenou","10129","2021-11-21 7:45","0:14:10","Accessability","B2"
"L7","Poblenou","10130","2021-11-21 8:00","0:15:04","Instagram","B2"
"L2","El Born","10131","2021-11-25 16:37","1:17:47","Website","B5"
"L2","El Born","10132","2021-11-26 9:31","0:00:08","Speciality Offerings","B5"
"L4","Gracia","10133","2021-11-26 9:32","0:09:49","Speciality Offerings","B5"
"L2","El Born","10134","2021-11-30 6:39","0:00:18","Menu","B8"
"L1","Barceloneta","10135","2021-11-30 9:04","0:01:06","Menu","B5"
"L3","Sants","10136","2021-12-1 15:51","0:00:14","Instagram","B5"
"L7","Poblenou","10137","2021-12-1 16:02","0:00:16","Ambience","B5"
"L1","Barceloneta","10138","2021-12-1 16:13","0:00:12","Menu","B5"
"L1","Barceloneta","10139","2021-12-1 16:24","0:46:08","Location","B5"
"L7","Poblenou","10140","2021-12-1 17:15","0:03:12","Speciality Offerings","B5"
"L5","Eixample","10141","2021-12-3 9:22","0:01:23","Accessability","B7"
"L2","El Born","10142","2021-12-3 9:24","0:00:27","Website","B7"
"L1","Barceloneta","10143","2021-12-3 9:24","0:00:24","Speciality Offerings","B7"
"L1","Barceloneta","10144","2021-12-4 14:02","0:00:07","Speciality Offerings","B5"
"L7","Poblenou","10145","2021-12-4 14:03","0:00:36","Speciality Offerings","B1"
"L2","El Born","10146","2021-12-4 14:04","0:00:02","Website","B1"
"L3","Sants","10147","2021-12-4 14:04","0:00:01","Website","B1"
"L7","Poblenou","10148","2021-12-4 14:04","0:00:04","Instagram","B1"
"L5","Eixample","10149","2021-12-4 14:06","0:03:02","Location","B1"
"L1","Barceloneta","10150","2021-12-4 14:09","0:00:51","Menu","B1"
"L1","Barceloneta","10151","2021-12-4 14:10","0:00:15","Ambience","B1"
"L3","Sants","10152","2021-12-4 14:10","0:00:56","Speciality Offerings","B5"
"L1","Barceloneta","10153","2021-12-4 14:10","0:00:04","Speciality Offerings","B5"
"L1","Barceloneta","10154","2021-12-4 14:11","0:49:39","Instagram","B1"
"L4","Gracia","10155","2021-12-4 15:01","0:49:45","Website","B1"
"L3","Sants","10156","2021-12-4 15:52","0:44:32","Website","B1"
"L7","Poblenou","10157","2021-12-4 16:37","0:39:30","Instagram","B1"
"L2","El Born","10158","2021-12-4 17:23","0:06:42","Speciality Offerings","B1"
"L3","Sants","10159","2021-12-4 17:30","0:02:35","Menu","B1"
"L1","Barceloneta","10160","2021-12-4 17:35","1:07:00","Accessability","B1"
"L1","Barceloneta","10161","2021-12-5 5:08","0:00:35","Menu","B1"
"L2","El Born","10162","2021-12-5 5:12","0:03:17","Location","B1"
"L1","Barceloneta","10163","2021-12-5 15:05","0:23:36","Ambience","B2"
"L6","Sarria","10164","2021-12-5 15:05","0:00:11","Menu","B2"
"L5","Eixample","10165","2021-12-5 15:05","0:00:05","Menu","B2"
"L4","Gracia","10166","2021-12-5 15:43","0:00:15","Instagram","B2"
"L2","El Born","10167","2021-12-5 15:48","0:16:07","Accessability","B2"
"L7","Poblenou","10168","2021-12-6 4:19","0:00:45","Offers","B2"
"L2","El Born","10169","2021-12-6 4:20","0:28:33","Ratings","B2"
"L6","Sarria","10170","2021-12-6 7:48","0:30:34","Location","B2"
"L7","Poblenou","10171","2021-12-6 7:48","0:00:35","Instagram","B2"
"L3","Sants","10172","2021-12-6 15:02","0:24:02","Careers","B2"
"L3","Sants","10173","2021-12-6 15:02","0:00:07","Instagram","B2"
"L3","Sants","10174","2021-12-6 15:26","0:17:59","Accessability","B2"
"L7","Poblenou","10175","2021-12-7 4:20","0:00:12","Menu","B2"
"L3","Sants","10176","2021-12-7 4:21","0:10:42","Menu","B2"
"L7","Poblenou","10177","2021-12-7 4:37","0:02:59","Speciality Offerings","B2"
"L3","Sants","10178","2021-12-7 7:53","0:08:37","Website","B2"
"L3","Sants","10179","2021-12-7 7:53","0:00:04","Location","B2"
"L2","El Born","10180","2021-12-7 8:02","0:32:13","Website","B2"
"L2","El Born","10181","2021-12-7 15:11","0:00:04","Location","B2"
"L7","Poblenou","10182","2021-12-7 15:12","0:00:31","Menu","B2"
"L7","Poblenou","10183","2021-12-7 15:13","0:00:06","Menu","B2"
"L3","Sants","10184","2021-12-7 15:13","0:00:14","Location","B2"
"L7","Poblenou","10185","2021-12-7 15:13","0:00:10","Location","B2"
"L2","El Born","10186","2021-12-7 15:14","0:00:08","Instagram","B2"
"L1","Barceloneta","10187","2021-12-7 15:14","0:00:12","Speciality Offerings","B2"
"L1","Barceloneta","10188","2021-12-7 15:15","0:01:26","Speciality Offerings","B2"
"L7","Poblenou","10189","2021-12-7 15:19","0:06:16","Instagram","B2"
"L7","Poblenou","10190","2021-12-7 15:19","0:00:01","Speciality Offerings","B2"
"L3","Sants","10191","2021-12-7 15:27","0:11:39","Website","B2"
"L6","Sarria","10192","2021-12-8 3:47","0:00:06","Instagram","B2"
"L7","Poblenou","10193","2021-12-8 3:48","0:07:05","Accessability","B2"
"L2","El Born","10194","2021-12-8 3:55","0:13:33","Speciality Offerings","B2"
"L2","El Born","10195","2021-12-8 7:35","0:03:36","Speciality Offerings","B2"
"L2","El Born","10196","2021-12-8 7:39","0:16:01","Speciality Offerings","B2"
"L2","El Born","10197","2021-12-8 7:55","0:19:38","Speciality Offerings","B2"
"L2","El Born","10198","2021-12-8 8:17","0:16:49","Instagram","B2"
"L2","El Born","10199","2021-12-8 8:34","0:14:04","Instagram","B2"
"L2","El Born","10200","2021-12-8 8:49","0:13:11","Location","B2"
"L3","Sants","10201","2021-12-8 14:39","0:00:06","Website","B9"
"L1","Barceloneta","10202","2021-12-8 14:39","0:00:06","Speciality Offerings","B9"
"L1","Barceloneta","10203","2021-12-8 14:41","0:00:06","Careers","B9"
"L1","Barceloneta","10204","2021-12-8 14:43","0:00:17","Instagram","B9"
"L2","El Born","10205","2021-12-8 14:45","0:00:46","Website","B9"
"L1","Barceloneta","10206","2021-12-8 14:45","0:00:07","Website","B9"
"L4","Gracia","10207","2021-12-8 14:46","0:00:31","Location","B9"
"L1","Barceloneta","10208","2021-12-8 14:47","0:00:25","Location","B9"
"L1","Barceloneta","10209","2021-12-8 14:48","0:00:26","Accessability","B9"
"L3","Sants","10210","2021-12-8 14:48","0:00:12","Menu","B9"
"L3","Sants","10211","2021-12-8 14:49","0:00:31","Speciality Offerings","B2"
"L3","Sants","10212","2021-12-8 14:50","0:00:09","Location","B9"
"L2","El Born","10213","2021-12-8 14:50","0:33:11","Instagram","B2"
"L1","Barceloneta","10214","2021-12-8 14:53","0:00:29","Menu","B9"
"L5","Eixample","10215","2021-12-8 14:57","0:00:05","Speciality Offerings","B9"
"L6","Sarria","10216","2021-12-8 15:21","0:00:17","Location","B9"
"L1","Barceloneta","10217","2021-12-8 15:21","0:00:11","Speciality Offerings","B9"
"L1","Barceloneta","10218","2021-12-8 15:22","0:00:07","Instagram","B9"
"L2","El Born","10219","2021-12-8 15:41","0:00:25","Speciality Offerings","B9"
"L4","Gracia","10220","2021-12-8 16:52","0:00:24","Instagram","B9"
"L2","El Born","10221","2021-12-8 18:01","2:26:25","Website","B9"
"L2","El Born","10222","2021-12-9 4:28","0:15:52","Website","B2"
"L6","Sarria","10223","2021-12-9 7:43","0:19:53","Careers","B2"
"L7","Poblenou","10224","2021-12-9 8:06","0:19:41","Accessability","B2"
"L2","El Born","10225","2021-12-9 8:27","0:17:59","Speciality Offerings","B2"
"L3","Sants","10226","2021-12-9 8:45","0:00:01","Menu","B2"
"L2","El Born","10227","2021-12-9 14:24","0:00:10","Menu","B2"
"L7","Poblenou","10228","2021-12-9 14:25","0:39:08","Instagram","B2"
"L1","Barceloneta","10229","2021-12-9 15:04","0:25:33","Instagram","B2"
"L3","Sants","10230","2021-12-9 17:19","0:00:05","Website","B9"
"L2","El Born","10231","2021-12-9 17:20","0:02:57","Ratings","B9"
"L4","Gracia","10232","2021-12-9 17:20","0:00:12","Speciality Offerings","B9"
"L5","Eixample","10233","2021-12-9 17:20","0:00:04","Location","B9"
"L2","El Born","10234","2021-12-9 17:23","0:46:30","Menu","B9"
"L2","El Born","10235","2021-12-10 4:38","0:17:29","Speciality Offerings","B2"
"L6","Sarria","10236","2021-12-10 4:38","0:00:05","Instagram","B2"
"L6","Sarria","10237","2021-12-10 4:56","0:00:05","Instagram","B2"
"L1","Barceloneta","10238","2021-12-10 7:47","0:18:46","Website","B2"
"L2","El Born","10239","2021-12-10 8:06","0:17:30","Location","B2"
"L6","Sarria","10240","2021-12-10 14:21","0:13:21","Careers","B2"
"L1","Barceloneta","10241","2021-12-10 14:21","0:00:04","Speciality Offerings","B2"
"L7","Poblenou","10242","2021-12-10 14:35","0:00:17","Instagram","B2"
"L2","El Born","10243","2021-12-10 14:37","0:13:08","Speciality Offerings","B2"
"L1","Barceloneta","10244","2021-12-10 14:51","0:18:06","Speciality Offerings","B2"
"L2","El Born","10245","2021-12-10 15:11","0:16:37","Instagram","B2"
"L4","Gracia","10246","2021-12-10 15:27","0:12:41","Website","B2"
"L3","Sants","10247","2021-12-11 4:22","0:00:04","Speciality Offerings","B2"
"L3","Sants","10248","2021-12-11 4:23","0:26:56","Accessability","B2"
"L3","Sants","10249","2021-12-11 4:23","0:00:04","Menu","B2"
"L7","Poblenou","10250","2021-12-11 4:54","0:40:07","Location","B2"
"L7","Poblenou","10251","2021-12-11 13:51","0:00:04","Offers","B1"
"L5","Eixample","10252","2021-12-11 13:51","0:00:05","Instagram","B1"
"L2","El Born","10253","2021-12-11 13:51","0:00:17","Speciality Offerings","B1"
"L6","Sarria","10254","2021-12-11 13:52","0:00:07","Instagram","B1"
"L7","Poblenou","10255","2021-12-11 13:53","0:39:26","Careers","B1"
"L2","El Born","10256","2021-12-11 14:19","0:01:58","Accessability","B2"
"L2","El Born","10257","2021-12-11 14:19","0:00:04","Offers","B2"
"L2","El Born","10258","2021-12-11 14:21","0:36:10","Ambience","B2"
"L2","El Born","10259","2021-12-11 14:42","0:00:08","Location","B1"
"L2","El Born","10260","2021-12-11 14:43","0:06:58","Location","B1"
"L2","El Born","10261","2021-12-11 14:58","0:43:59","Instagram","B2"
"L2","El Born","10262","2021-12-11 16:17","0:30:04","Menu","B5"
"L3","Sants","10263","2021-12-11 16:48","0:13:08","Accessability","B5"
"L1","Barceloneta","10264","2021-12-11 17:16","1:08:06","Location","B9"
"L2","El Born","10265","2021-12-12 4:09","0:00:18","Website","B2"
"L3","Sants","10266","2021-12-12 4:10","0:45:15","Website","B2"
"L2","El Born","10267","2021-12-12 7:52","0:00:02","Location","B2"
"L4","Gracia","10268","2021-12-12 7:52","0:00:18","Ambience","B2"
"L2","El Born","10269","2021-12-12 7:53","0:19:47","Offers","B2"
"L1","Barceloneta","10270","2021-12-12 14:51","0:00:14","Instagram","B2"
"L1","Barceloneta","10271","2021-12-12 14:52","0:23:55","Careers","B2"
"L2","El Born","10272","2021-12-12 15:28","0:15:54","Instagram","B2"
"L6","Sarria","10273","2021-12-12 15:44","0:24:54","Ambience","B2"
"L1","Barceloneta","10274","2021-12-13 4:27","0:16:20","Instagram","B2"
"L5","Eixample","10275","2021-12-13 4:27","0:00:06","Instagram","B2"
"L1","Barceloneta","10276","2021-12-13 4:44","0:12:53","Speciality Offerings","B2"
"L4","Gracia","10277","2021-12-13 7:49","0:23:40","Instagram","B2"
"L1","Barceloneta","10278","2021-12-13 7:49","0:00:06","Website","B2"
"L3","Sants","10279","2021-12-13 8:13","0:10:37","Speciality Offerings","B2"
"L6","Sarria","10280","2021-12-13 8:30","0:12:48","Menu","B2"
"L7","Poblenou","10281","2021-12-13 14:51","0:08:58","Ambience","B2"
"L1","Barceloneta","10282","2021-12-13 14:51","0:00:11","Instagram","B2"
"L2","El Born","10283","2021-12-13 15:02","0:00:07","Speciality Offerings","B2"
"L2","El Born","10284","2021-12-13 15:03","0:07:39","Website","B2"
"L7","Poblenou","10285","2021-12-13 15:20","0:19:46","Speciality Offerings","B2"
"L2","El Born","10286","2021-12-13 15:40","0:13:08","Location","B2"
"L1","Barceloneta","10287","2021-12-14 4:18","0:24:46","Location","B2"
"L2","El Born","10288","2021-12-14 4:18","0:00:10","Location","B2"
"L4","Gracia","10289","2021-12-14 4:43","0:00:07","Location","B2"
"L2","El Born","10290","2021-12-14 8:01","0:42:54","Ambience","B2"
"L2","El Born","10291","2021-12-14 10:59","0:00:18","Speciality Offerings","B9"
"L7","Poblenou","10292","2021-12-14 14:53","0:22:58","Offers","B2"
"L6","Sarria","10293","2021-12-15 3:20","0:00:14","Menu","B2"
"L6","Sarria","10294","2021-12-15 3:21","0:17:40","Location","B2"
"L5","Eixample","10295","2021-12-15 8:02","0:25:20","Speciality Offerings","B2"
"L1","Barceloneta","10296","2021-12-15 14:38","0:15:14","Accessability","B2"
"L1","Barceloneta","10297","2021-12-15 14:53","0:21:23","Speciality Offerings","B2"
"L2","El Born","10298","2021-12-15 15:20","0:00:05","Website","B2"
"L1","Barceloneta","10299","2021-12-15 15:22","0:00:04","Website","B5"
"L1","Barceloneta","10300","2021-12-15 15:23","0:00:07","Careers","B2"
"L7","Poblenou","10301","2021-12-15 15:27","0:00:23","Careers","B5"
"L1","Barceloneta","10302","2021-12-15 15:28","0:00:16","Ambience","B2"
"L3","Sants","10303","2021-12-15 15:28","0:00:06","Instagram","B2"
"L2","El Born","10304","2021-12-15 15:29","2:29:34","Instagram","B2"
"L3","Sants","10305","2021-12-15 15:29","0:00:04","Instagram","B5"
"L1","Barceloneta","10306","2021-12-15 15:40","0:00:05","Location","B9"
"L2","El Born","10307","2021-12-16 4:14","0:18:54","Instagram","B2"
"L1","Barceloneta","10308","2021-12-16 4:14","0:00:04","Location","B2"
"L3","Sants","10309","2021-12-16 4:33","0:07:27","Instagram","B2"
"L6","Sarria","10310","2021-12-16 8:01","0:32:43","Location","B2"
"L6","Sarria","10311","2021-12-16 15:14","0:00:01","Instagram","B3"
"L2","El Born","10312","2021-12-16 15:14","0:00:08","Careers","B3"
"L3","Sants","10313","2021-12-16 15:16","0:00:52","Offers","B3"
"L5","Eixample","10314","2021-12-16 15:16","0:00:11","Website","B3"
"L3","Sants","10315","2021-12-16 15:30","0:18:21","Accessability","B3"
"L2","El Born","10316","2021-12-16 17:00","2:06:53","Menu","B3"
"L1","Barceloneta","10317","2021-12-17 3:55","0:29:06","Menu","B2"
"L6","Sarria","10318","2021-12-17 8:00","0:16:09","Speciality Offerings","B2"
"L6","Sarria","10319","2021-12-17 8:16","0:20:53","Instagram","B2"
"L3","Sants","10320","2021-12-17 14:54","0:22:17","Instagram","B2"
"L2","El Born","10321","2021-12-17 14:54","0:00:08","Instagram","B2"
"L6","Sarria","10322","2021-12-17 15:17","0:40:27","Menu","B2"
"L7","Poblenou","10323","2021-12-17 15:57","0:04:08","Menu","B2"
"L3","Sants","10324","2021-12-17 17:06","0:00:02","Menu","B1"
"L4","Gracia","10325","2021-12-17 17:06","0:00:06","Accessability","B1"
"L5","Eixample","10326","2021-12-17 17:08","0:17:51","Menu","B1"
"L6","Sarria","10327","2021-12-19 7:31","0:00:11","Speciality Offerings","B2"
"L4","Gracia","10328","2021-12-19 7:32","0:09:11","Location","B2"
"L6","Sarria","10329","2021-12-19 7:41","0:00:05","Website","B2"
"L2","El Born","10330","2021-12-19 7:42","0:00:24","Pet Friendly","B2"
"L2","El Born","10331","2021-12-19 7:42","0:00:06","Ambience","B2"
"L2","El Born","10332","2021-12-19 7:43","0:00:02","Accessability","B2"
"L3","Sants","10333","2021-12-19 7:44","0:00:40","Location","B2"
"L2","El Born","10334","2021-12-19 7:45","0:19:04","Speciality Offerings","B2"
"L7","Poblenou","10335","2021-12-19 14:10","0:00:10","Website","B9"
"L1","Barceloneta","10336","2021-12-19 15:04","0:37:27","Location","B2"
"L1","Barceloneta","10337","2021-12-19 15:04","0:00:04","Website","B2"
"L4","Gracia","10338","2021-12-19 17:14","1:37:31","Website","B9"
"L1","Barceloneta","10339","2021-12-19 18:58","0:00:14","Website","B9"
"L6","Sarria","10340","2021-12-19 18:58","0:00:04","Menu","B9"
"L4","Gracia","10341","2021-12-19 18:59","0:00:08","Instagram","B9"
"L1","Barceloneta","10342","2021-12-19 19:03","0:00:41","Speciality Offerings","B9"
"L7","Poblenou","10343","2021-12-19 19:04","0:00:23","Instagram","B9"
"L1","Barceloneta","10344","2021-12-19 19:05","0:00:28","Instagram","B9"
"L2","El Born","10345","2021-12-19 19:06","0:07:50","Instagram","B9"
"L1","Barceloneta","10346","2021-12-19 19:21","0:09:00","Menu","B9"
"L2","El Born","10347","2021-12-19 19:31","0:00:19","Ambience","B9"
"L1","Barceloneta","10348","2021-12-19 19:31","0:00:08","Website","B9"
"L2","El Born","10349","2021-12-20 4:08","0:02:48","Website","B2"
"L1","Barceloneta","10350","2021-12-20 4:11","0:23:13","Menu","B2"
"L1","Barceloneta","10351","2021-12-20 7:25","0:00:37","Accessability","B9"
"L2","El Born","10352","2021-12-20 7:28","0:00:09","Speciality Offerings","B9"
"L7","Poblenou","10353","2021-12-20 7:28","0:00:05","Instagram","B9"
"L2","El Born","10354","2021-12-20 7:28","0:00:06","Instagram","B9"
"L6","Sarria","10355","2021-12-20 7:29","0:00:04","Menu","B9"
"L6","Sarria","10356","2021-12-20 7:33","0:01:23","Instagram","B9"
"L2","El Born","10357","2021-12-20 7:37","0:00:23","Instagram","B9"
"L4","Gracia","10358","2021-12-20 7:39","0:00:12","Speciality Offerings","B9"
"L4","Gracia","10359","2021-12-20 7:41","0:00:18","Speciality Offerings","B9"
"L4","Gracia","10360","2021-12-20 7:57","0:28:06","Careers","B2"
"L3","Sants","10361","2021-12-20 7:57","0:00:05","Website","B2"
"L1","Barceloneta","10362","2021-12-20 17:10","0:04:54","Website","B9"
"L1","Barceloneta","10363","2021-12-20 17:16","0:31:22","Accessability","B9"
"L7","Poblenou","10364","2021-12-20 17:49","1:15:02","Menu","B9"
